deutsch, polnisch
neu, nowy
blOd, głupi
arrogant, arogancki
doof, głupi
dumm, głupi
kritisch, krytyczny
klug, mądry
frech, bezczelny
kaputt, zepsuty
bunt, kolorowy
kreativ, kreatywny
herrlich, piękny
kUhl, chłodny
heiSS, gorący
hektisch, nerwowy
entfernt, oddalony
schwer, ciężki
schwach, słaby
hart, twardy
gefragt, znany / zapytywany o
berUhmt, znany
erfolgreich, odnoszący sukcesy
reich, bogaty
verheiratet, żonaty
faszinierend, fascynujący
hAsslich, brzydki / okropny
lieb, kochany
schlank, szczupły
extrovertiert, ekstrawertyczny
introvertiert, introwertyczny
humorvoll, z poczuciem humoru
sensibel, czuły
beliebt, znany
das Top, top
das T-Shirt, koszulka
der Rock, spódnica
der Mantel, płaszcz
das Kleid, sukienka
die Krawatte, krawat
der Pullover, sweter
die Hose, spodnie
die Strickjacke, kurtka z dzianiny / sweter rozpinany
der Anzug, garnitur
das Hemd, koszula
die Bluse, bluzka damska
das KostUm, marynarka + spódnica
der Stiefel, kozak
der Freizeitschuh, but do chodzenia ogólne
das Sweatshirt, bluza
die Jacke, kurtka
die Lederjacke, kurtka skórzana
die HUfthose, spodnie biodrówki
die Jeans, jeansy
der Trainingsanzug, strój sportowy
schick, szykowny
seriOs, poważny
abgetragen, znoszony
kariert, w kratkę
zerrissen, podarty
bequem, wygodny
gewagt, odważny / wyzywający
gestreift, w paski
gepunktet, w kropki
gemustert, wzorzysty
grell, jaskrawy
etwas umhaben, mieć coś założone (np. biżuterię)
etwas anhaben, mieć założoną część ubrania
weich, miękki
